Planet Earth II`(2016)`9.5`David Attenborough`https://www.imdb.com/title/tt5491994/
Downton Abbey`(2010)`8.6`Hugh Bonneville, Phyllis Logan`https://www.imdb.com/title/tt1606375/
Lonesome Dove`(1989)`8.6`Robert Duvall, Tommy Lee Jones`https://www.imdb.com/title/tt0096639/
This Is Us`(2016)`8.6`Milo Ventimiglia, Mandy Moore`https://www.imdb.com/title/tt5555260/
Line of Duty`(2012)`8.6`Adrian Dunbar, Martin Compston`https://www.imdb.com/title/tt2303687/
Primal`(2019)`8.6`Aaron LaPlante, Tom Kenny`https://www.imdb.com/title/tt10332508/
Deadwood`(2004)`8.6`Timothy Olyphant, Ian McShane`https://www.imdb.com/title/tt0348914/
Cobra Kai`(2018)`8.6`Ralph Macchio, William Zabka`https://www.imdb.com/title/tt7221388/
Haikyuu!!`(2014)`8.6`Ayumu Murase, Kaito Ishikawa`https://www.imdb.com/title/tt3398540/
Atlanta`(2016)`8.6`Donald Glover, Brian Tyree Henry`https://www.imdb.com/title/tt4288182/
Star Trek: The Next Generation`(1987)`8.6`Patrick Stewart, Brent Spiner`https://www.imdb.com/title/tt0092455/
Bron/Broen`(2011)`8.6`Sofia Helin, Rafael Pettersson`https://www.imdb.com/title/tt1733785/
Easy Living`(2015)`8.6`Szabolcs Thuróczy, Eszter Ónodi`https://www.imdb.com/title/tt5099020/
The Haunting of Hill House`(2018)`8.6`Michiel Huisman, Carla Gugino`https://www.imdb.com/title/tt6763664/
Blackadder II`(1986)`8.6`Rowan Atkinson, Tony Robinson`https://www.imdb.com/title/tt0088484/
Parks and Recreation`(2009)`8.6`Amy Poehler, Jim O'Heir`https://www.imdb.com/title/tt1266020/
The Memoirs of Sherlock Holmes`(1994)`8.6`Jeremy Brett, Rosalie Williams`https://www.imdb.com/title/tt0108855/
The X-Files`(1993)`8.6`David Duchovny, Gillian Anderson`https://www.imdb.com/title/tt0106179/
Code Geass`(2006)`8.6`Johnny Yong Bosch, Yuri Lowenthal`https://www.imdb.com/title/tt0994314/
Mad Men`(2007)`8.6`Jon Hamm, Elisabeth Moss`https://www.imdb.com/title/tt0804503/
Battlestar Galactica`(2003)`8.6`Edward James Olmos, Mary McDonnell`https://www.imdb.com/title/tt0314979/
The Eric Andre Show`(2012)`8.6`Eric André, Hannibal Buress`https://www.imdb.com/title/tt2244495/
Friday Night Lights`(2006)`8.6`Kyle Chandler, Connie Britton`https://www.imdb.com/title/tt0758745/
