Indiana Jones and the Raiders of the Lost Ark`(1981)`8.4`Steven Spielberg (dir.), Harrison Ford, Karen Allen`https://www.imdb.com/title/tt0082971/
Django Unchained`(2012)`8.4`Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz`https://www.imdb.com/title/tt1853728/
The Lives of Others`(2006)`8.4`Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck`https://www.imdb.com/title/tt0405094/
Joker`(2019)`8.4`Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro`https://www.imdb.com/title/tt7286456/
Paths of Glory`(1957)`8.4`Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker`https://www.imdb.com/title/tt0050825/
WALL·E`(2008)`8.4`Andrew Stanton (dir.), Ben Burtt, Elissa Knight`https://www.imdb.com/title/tt0910970/
The Shining`(1980)`8.4`Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall`https://www.imdb.com/title/tt0081505/
Avengers: Infinity War`(2018)`8.4`Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth`https://www.imdb.com/title/tt4154756/
Sunset Blvd.`(1950)`8.4`Billy Wilder (dir.), William Holden, Gloria Swanson`https://www.imdb.com/title/tt0043014/
Witness for the Prosecution`(1957)`8.4`Billy Wilder (dir.), Tyrone Power, Marlene Dietrich`https://www.imdb.com/title/tt0051201/
Oldboy`(2003)`8.4`Chan-wook Park (dir.), Choi Min-sik, Yoo Ji-Tae`https://www.imdb.com/title/tt0364569/
Princess Mononoke`(1997)`8.3`Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida`https://www.imdb.com/title/tt0119698/
Spider-Man: Into the Spider-Verse`(2018)`8.3`Bob Persichetti (dir.), Shameik Moore, Jake Johnson`https://www.imdb.com/title/tt4633694/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb`(1964)`8.3`Stanley Kubrick (dir.), Peter Sellers, George C. Scott`https://www.imdb.com/title/tt0057012/
The Dark Knight Rises`(2012)`8.3`Christopher Nolan (dir.), Christian Bale, Tom Hardy`https://www.imdb.com/title/tt1345836/
Once Upon a Time in America`(1984)`8.3`Sergio Leone (dir.), Robert De Niro, James Woods`https://www.imdb.com/title/tt0087843/
Aliens`(1986)`8.3`James Cameron (dir.), Sigourney Weaver, Michael Biehn`https://www.imdb.com/title/tt0090605/
Your Name.`(2016)`8.3`Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi`https://www.imdb.com/title/tt5311514/
Coco`(2017)`8.3`Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal`https://www.imdb.com/title/tt2380307/
Avengers: Endgame`(2019)`8.3`Anthony Russo (dir.), Robert Downey Jr., Chris Evans`https://www.imdb.com/title/tt4154796/
American Beauty`(1999)`8.3`Sam Mendes (dir.), Kevin Spacey, Annette Bening`https://www.imdb.com/title/tt0169547/
